codigo_cnuc;unidade_de_conservacao;categoria_uc_sigla_federal;gerencia_regional_icmbio;coordenacao_regional_icmbio;unidades_da_federacao;bioma_referencial;programa_monitora;projetos_especiais;subprograma_terrestre;componente_florestal_alvo_global;componente_florestal_alvo_complementar;componente_campestre_savanico;florestal_ea_01_alvo_global_mamiferos_aves;florestal_ea_02_alvo_global_mamiferos_aves;florestal_ea_03_alvo_global_mamiferos_aves;florestal_ea_01_alvo_global_borboletas;florestal_ea_02_alvo_global_borboletas;florestal_ea_03_alvo_global_borboletas;florestal_ea_01_alvo_global_plantas_arboreas;florestal_ea_02_alvo_global_plantas_arboreas;florestal_ea_03_alvo_global_plantas_arboreas;florestal_alvo_complementar_castanha_da_amazonia;florestal_alvo_complementar_especies_cinegeticas;florestal_alvo_complementar_mamiferos_aves;campestre_savanico_alvo_global_plantas;subprograma_aquatico_continental;componente_igarape;componente_area_alagavel_alvo_global;componente_area_alagavel_alvo_complementar;igarape_alvo_global_odonatas;igarape_alvo_global_peixes;igarape_alvo_global_habitat;area_alagavel_alvo_global_pesca;area_alagavel_alvo_complementar_quelonios;area_alagavel_alvo_complementar_pirarucu;subprograma_marinho_costeiro;componente_manguezal;componente_ambiente_recifal;componente_praia;componente_ilha;alvo_transversal_pesca_biodiversidade_associada;manguezal_alvo_global_caranguejo_uca;manguezal_alvo_global_vegetacao_de_mangue;ambiente_recifal_alvo_global_peixes_invertebrados_substrato;praia_alvo_global_aves_limicolas;praia_alvo_global_mamiferos_marinhos;ilha_alvo_global_aves_marinhas;praia_alvo_global_tartarugas
112;flona de tefe;flona;gr 1;cr - manaus;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;flona de tres barras;flona;gr 5;gr 5;sc;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3408;flona de urupadi;flona;gr 1;cr - porto velho;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
271;flona do amana;flona;gr 1;cr - oeste do para;am/pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;flona do amapa;flona;gr 1;cr - belem;ap;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;flona do amazonas;flona;gr 1;cr - manaus;am/rr;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;flona do araripe-apodi;flona;gr 2;cr - parnaiba;ce;caatinga;gef terrestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3409;flona do aripuana;flona;gr 1;cr - porto velho;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;flona do bom futuro;flona;gr 1;cr - porto velho;ro;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;flona do crepori;flona;gr 1;cr - oeste do para;pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;flona do ibura;flona;gr 2;cr - parnaiba;se;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1612;flona do iquiri;flona;gr 1;cr - porto velho;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;flona do itacaiunas;flona;gr 1;cr - belem;pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;flona do jamanxim;flona;gr 1;cr - oeste do para;pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;flona do jamari;flona;gr 1;gr 1;ro;amazonia;operacao;operacao;operacao;operacao;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;parada;parada;parada;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;flona do jatuarana;flona;gr 1;cr - porto velho;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;flona do macaua;flona;gr 1;cr - porto velho;ac;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;flona do purus;flona;gr 1;cr - porto velho;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;flona do rio preto;flona;gr 2;cr - parnaiba;es;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;flona do tapajos;flona;gr 1;gr 1;pa;amazonia;operacao;operacao;operacao;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao;operacao;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;flona do tapirapeaquiri;flona;gr 1;gr 1;pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;flona do trairao;flona;gr 1;cr - oeste do para;pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;flona mapia-inauini;flona;gr 1;cr - porto velho;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;flona mario xavier;flona;gr 4;cr - lagoa santa;rj;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;flona saraca-taquera;flona;gr 1;cr - oeste do para;pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;mona das ilhas cagarras;mona;gr 4;cr - lagoa santa;rj;marinho-costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1812;mona do rio sao francisco;mona;gr 2;cr - parnaiba;ba/se/al;caatinga;gef terrestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;mona dos pontaes capixabas;mona;gr 2;cr - parnaiba;es;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;parna cavernas do peruacu;parna;gr 4;cr - lagoa santa;mg;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;parna da amazonia;parna;gr 1;gr 1;am/pa;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao;operacao;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;
272;parna da chapada das mesas;parna;gr 2;cr - parnaiba;ma;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;parna da chapada diamantina;parna;gr 2;cr - parnaiba;ba;caatinga;gef terrestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;parna da chapada dos guimaraes;parna;gr 3;gr 3;mt;cerrado;implantacao;implantacao;implantacao;implantacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;parna da chapada dos veadeiros;parna;gr 3;gr 3;go;cerrado;operacao;operacao;operacao;operacao;operacao basico e avancado;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2633;parna da furna feia;parna;gr 2;cr - parnaiba;rn;caatinga;gef terrestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;parna da lagoa do peixe;parna;gr 5;gr 5;rs;pampas;operacao;gef mar;operacao;operacao;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;parna da restinga de jurubatiba;parna;gr 4;gr 4;rj;mata atlantica;operacao;operacao;operacao;operacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;parna da serra da bocaina;parna;gr 4;gr 4;rj/sp;mata atlantica;parada;parada;parada;parada;parada;parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;parna da serra da bodoquena;parna;gr 3;gr 3;ms;cerrado;operacao;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;parna da serra da canastra;parna;gr 4;cr - lagoa santa;mg;cerrado;implantacao;implantacao;implantacao;implantacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;parna da serra da capivara;parna;gr 2;cr - parnaiba;pi;caatinga;gef terrestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;parna da serra da cutia;parna;gr 1;gr 1;ro;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;parna da serra das confusaes;parna;gr 2;cr - parnaiba;pi;caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;parna da serra das lontras;parna;gr 2;cr - parnaiba;ba;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;parna da serra do cipo;parna;gr 3;gr 3;mg;cerrado;operacao;operacao;operacao;operacao;parada;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;parna da serra do divisor;parna;gr 1;gr 1;ac;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3136;parna da serra do gandarela;parna;gr 4;cr - lagoa santa;mg;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;parna da serra do itajai;parna;gr 5;gr 5;sc;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;parna da serra do pardo;parna;gr 1;gr 1;pa;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;parna da serra dos orgaos;parna;gr 4;gr 4;rj;mata atlantica;operacao;operacao;operacao;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;parna da serra geral;parna;gr 5;gr 5;sc/rs;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;parna da tijuca;parna;gr 4;cr - lagoa santa;rj;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;parna das araucarias;parna;gr 5;gr 5;sc;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;parna das emas;parna;gr 3;gr 3;ms/go;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;parna das nascentes do rio parnaiba;parna;gr 2;cr - parnaiba;ma/pi/ba;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;parna das sempre-vivas;parna;gr 4;cr - lagoa santa;mg;cerrado;implantacao;implantacao;implantacao;implantacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;parna de anavilhanas;parna;gr 1;gr 1;am;amazonia;operacao;arpa;operacao;operacao;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;parna de aparados da serra;parna;gr 5;gr 5;sc/rs;mata atlantica;gef terrestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;parna de boa nova;parna;gr 2;cr - parnaiba;ba;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;parna de brasilia;parna;gr 3;gr 3;df;cerrado;operacao;operacao;operacao;operacao;operacao basico e avancado;operacao basico e avancado;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;parna de caparao;parna;gr 4;cr - lagoa santa;es/mg;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;parna de ilha grande;parna;gr 5;gr 5;ms/pr;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;parna de itatiaia;parna;gr 4;cr - lagoa santa;mg/rj;mata atlantica;operacao;implantacao;implantacao;implantacao;operacao;operacao;operacao basico;operacao basico e avancado;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;parna de jericoacoara;parna;gr 2;cr - parnaiba;ce;caatinga;operacao;operacao;operacao;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;parna de pacaas novos;parna;gr 1;gr 1;ro;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;parna de saint-hilaire/lange;parna;gr 5;gr 5;pr;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;parna de sao joaquim;parna;gr 5;gr 5;sc;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;parna de sete cidades;parna;gr 2;cr - parnaiba;pi;caatinga;gef terrestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;parna de ubajara;parna;gr 2;cr - parnaiba;ce;caatinga;gef terrestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;parna descobrimento;parna;gr 2;cr - parnaiba;ba;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3410;parna do acari;parna;gr 1;cr - porto velho;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;parna do alto cariri;parna;gr 2;cr - parnaiba;ba;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;parna do araguaia;parna;gr 3;gr 3;to;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;parna do cabo orange;parna;gr 1;gr 1;ap;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao;operacao;operacao;operacao basico;operacao basico;operacao;;;;;;;;;;;;;;;;;;;;;;;
170;parna do catimbau;parna;gr 2;cr - parnaiba;pe;caatinga;gef terrestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;parna do iguacu;parna;gr 5;gr 5;pr;mata atlantica;operacao;operacao;operacao;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;parna do jamanxim;parna;gr 1;gr 1;pa;amazonia;operacao;arpa;operacao;operacao;operacao basico e avancado;operacao basico e avancado;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;parna do jau;parna;gr 1;gr 1;am/rr;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao;operacao;operacao basico e avancado;;;;;;;;;;;;;;;;;;;;;;;;;;
281;parna do juruena;parna;gr 3;gr 3;am/mt;amazonia;operacao;arpa;operacao;operacao;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;parada;parada;parada;;;;;;;;;;;;;;;;;;;;;;;;;;
182;parna do monte pascoal;parna;gr 2;cr - parnaiba;ba;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174;parna do monte roraima;parna;gr 1;gr 1;rr;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;parna do pantanal mato-grossense;parna;gr 3;gr 3;ms/mt;pantanal;gef terrestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;parna do pau brasil;parna;gr 2;cr - parnaiba;ba;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;parna do pico da neblina;parna;gr 1;cr - manaus;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
264;parna do rio novo;parna;gr 1;cr - oeste do para;pa;amazonia;arpa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;parna do superagui;parna;gr 5;gr 5;sp/pr;mata atlantica;operacao;operacao;operacao;parada;parada;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;operacao;operacao;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;parna do virua;parna;gr 1;gr 1;rr;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico;operacao;operacao;operacao basico;operacao basico e avancado;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;
284;parna dos campos amazonicos;parna;gr 1;gr 1;ro/mt/am;amazonia;operacao;arpa;operacao;operacao;implantacao;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico;operacao basico;operacao basico;implantacao;operacao;operacao;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;
277;parna dos campos gerais;parna;gr 5;gr 5;pr;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;parna dos lencois maranhenses;parna;gr 2;cr - parnaiba;ma;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;parna grande sertao veredas;parna;gr 4;cr - lagoa santa;ba/mg;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3137;parna guaricana;parna;gr 5;gr 5;pr;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1633;parna mapinguari;parna;gr 1;gr 1;am/ro;amazonia;operacao;arpa;operacao;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico;operacao;operacao;operacao basico;operacao basico e avancado;operacao basico;;;;;;;;;;;;;;;;;;;;;;
2874;parna marinho das ilhas dos currais;parna;gr 5;gr 5;pr;marinho-costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;parna marinho de fernando de noronha;parna;gr 2;gr 2;pe;marinho-costeiro;operacao;gef mar;operacao;operacao;operacao;operacao basico e avancado;operacao basico e avancado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;parna marinho dos abrolhos;parna;gr 2;gr 2;ba;marinho-costeiro;operacao;gef mar;operacao;operacao;operacao;operacao basico;operacao basico e avancado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;parna montanhas do tumucumaque;parna;gr 1;gr 1;ap;amazonia;operacao;arpa;operacao;operacao;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1626;parna nascentes do lago jari;parna;gr 1;gr 1;am;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;parna serra da mocidade;parna;gr 1;gr 1;am/rr;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao;operacao;operacao basico;operacao basico e avancado;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;parna serra de itabaiana;parna;gr 2;cr - parnaiba;se;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;rds de itatupa-baquia;rds;gr 1;gr 1;pa;amazonia;operacao;arpa;operacao;operacao;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3135;rds nascentes geraizeiras;rds;gr 4;cr - lagoa santa;mg;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;rebio augusto ruschi;rebio;gr 2;cr - parnaiba;es;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2634;rebio bom jesus;rebio;gr 5;gr 5;pr;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;rebio da contagem;rebio;gr 3;gr 3;df;cerrado;operacao;operacao;operacao;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;rebio da mata escura;rebio;gr 4;cr - lagoa santa;mg;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276;rebio das araucarias;rebio;gr 5;gr 5;pr;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;rebio das perobas;rebio;gr 5;gr 5;pr;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;rebio de comboios;rebio;gr 2;gr 2;es;marinho-costeiro;operacao;operacao;operacao;operacao basico e avancado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;rebio de pedra talhada;rebio;gr 2;cr - parnaiba;pe/al;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;rebio de poco das antas;rebio;gr 4;cr - lagoa santa;rj;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;rebio de saltinho;rebio;gr 2;cr - parnaiba;pe;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;rebio de santa isabel;rebio;gr 2;gr 2;se;marinho-costeiro;operacao;operacao;operacao;operacao basico e avancado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;rebio de serra negra;rebio;gr 2;cr - parnaiba;pe;caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;rebio de sooretama;rebio;gr 2;cr - parnaiba;es;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;rebio de una;rebio;gr 2;gr 2;ba;mata atlantica;operacao;operacao;operacao;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;rebio do abufari;rebio;gr 1;gr 1;am;amazonia;parada;arpa;parada;parada;parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;rebio do atol das rocas;rebio;gr 2;gr 2;pe;marinho-costeiro;operacao;gef mar;operacao;operacao;operacao basico e avancado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;rebio do corrego do veado;rebio;gr 2;cr - parnaiba;es;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;rebio do corrego grande;rebio;gr 2;cr - parnaiba;es;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;rebio do guapore;rebio;gr 1;gr 1;ro;amazonia;operacao;arpa;operacao;operacao;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;rebio do gurupi;rebio;gr 1;gr 1;ma;amazonia;operacao;arpa;operacao;operacao;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;rebio do jaru;rebio;gr 1;gr 1;ro;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao;operacao;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;
209;rebio do lago piratuba;rebio;gr 1;gr 1;ap;amazonia;operacao;arpa;operacao;operacao;operacao avancado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3411;rebio do manicore;rebio;gr 1;cr - porto velho;am;amazonia;arpa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;rebio do rio trombetas;rebio;gr 1;gr 1;pa;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico;operacao;operacao;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;rebio do tapirape;rebio;gr 1;gr 1;pa;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;parada;parada;parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;rebio do tingua;rebio;gr 4;cr - lagoa santa;rj;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;rebio do uatuma;rebio;gr 1;gr 1;am;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;parada;parada;parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;rebio guaribas;rebio;gr 2;gr 2;pb;mata atlantica;parada;parada;parada;parada;parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;rebio marinha do arvoredo;rebio;gr 5;gr 5;sc;marinho-costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;rebio nascentes da serra do cachimbo;rebio;gr 1;cr - oeste do para;pa;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;rebio uniao;rebio;gr 4;cr - lagoa santa;rj;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1563;resex acau-goiana;resex;gr 2;cr - parnaiba;pb/pe;mata atlantica;gef mar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;resex alto tarauaca;resex;gr 1;gr 1;ac;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
